SIMFIT RESULTS
==============

Dataset : D:/Tian/data/Tian/nmr/240815_LNS0p45_JLP/79/pdata/1/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

26 points for Peak 1,  Peak Point = 28.158 ppm

Converged after 277 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   3.871e-001    3.869e-001  
T     =   10202.919s    16089.783s  

RSS   =   1.082e-001
SD    =   6.450e-002

Point       Tau          Expt          Calc       Difference

    1      10.000s    1.000e+000    7.734e-001    -2.266e-001
    2      20.000s    8.119e-001    7.728e-001    -3.911e-002
    3      30.000s    7.527e-001    7.722e-001    1.944e-002
    4      40.000s    7.979e-001    7.716e-001    -2.637e-002
    5      50.000s    7.666e-001    7.709e-001    4.310e-003
    6      60.000s    7.881e-001    7.703e-001    -1.778e-002
    7     100.000s    7.892e-001    7.679e-001    -2.138e-002
    8     200.000s    7.606e-001    7.617e-001    1.182e-003
    9     300.000s    7.513e-001    7.557e-001    4.322e-003
   10     500.000s    7.254e-001    7.437e-001    1.833e-002
   11     750.000s    6.883e-001    7.290e-001    4.068e-002
   12    1000.000s    6.698e-001    7.146e-001    4.475e-002
   13    1500.000s    6.386e-001    6.867e-001    4.811e-002
   14    2000.000s    5.988e-001    6.599e-001    6.110e-002
   15    2500.000s    5.599e-001    6.342e-001    7.434e-002
   16    3000.000s    5.515e-001    6.096e-001    5.807e-002
   17    5000.000s    4.794e-001    5.207e-001    4.134e-002
   18    7500.000s    4.042e-001    4.284e-001    2.420e-002
   19   10000.000s    3.692e-001    3.531e-001    -1.611e-002
   20   12000.000s    3.277e-001    3.029e-001    -2.479e-002
   21   25000.000s    2.134e-001    1.152e-001    -9.818e-002
   22   40000.000s    1.435e-001    3.988e-002    -1.036e-001
   23   60000.000s    1.016e-001    1.037e-002    -9.120e-002
   24   100000.000s    4.657e-002    7.949e-004    -4.578e-002
   25   200000.000s    2.052e-002    1.547e-006    -2.052e-002
   26   400000.000s    1.057e-002    6.178e-012    -1.057e-002

============================================================

